company,jname,jtxt,mount,salary
深圳市美展电子商贸有限公司,京东淘宝运营学员,"贵池区/城区,经验不限,学历不限",[若干人],5千-8千/月
安徽省忆江南生物科技有限公司,普工,"贵池区/城区,经验不限,学历不限",[若干人],2千6-3千/月
安徽省忆江南生物科技有限公司,文员 后勤 助理,"贵池区/城区,经验不限,学历不限",[若干人],面议
个体户姜根琴,报刊以及包裹投递员,"贵池区/城区,经验不限,学历不限",[若干人],2千-4千/月
嘉年华宾馆,酒店前台,"贵池区/城区,经验不限,学历不限",[若干人],面议
嘉年华宾馆,客房服务员,"贵池区/城区,经验不限,学历不限",[若干人],面议
嘉年华宾馆,前台,"贵池区/城区,经验不限,学历不限",[若干人],2千5-2千7/月
嘉年华宾馆,酒店前台,"贵池区/城区,经验不限,学历不限",[若干人],2千5-2千6/月
池州市方圆房地产经纪有限公司,置业顾问,"贵池区/城区,1-3年,高中",[5人],3千-6千/月
池州市方圆房地产经纪有限公司,房产销售业务员,"贵池区/城区,经验不限,高中",[10人],3千-6千/月
安徽优越地产顾问有限公司,龙云.新都汇诚聘销售顾问,"贵池区,经验不限,学历不限",[30人],面议
安徽优越地产顾问有限公司,电话专员,"贵池区,经验不限,学历不限",[若干人],面议
安徽优越地产顾问有限公司,房产策划,"贵池区,经验不限,学历不限",[2人],面议
安徽优越地产顾问有限公司,渠道专员,"贵池区,经验不限,高中",[10人],面议
池州祥盛汽车货运有限公司,大型货车修理工,"贵池区,3-5年,学历不限",[3人],面议
池州祥盛汽车货运有限公司,维修站厂长,"贵池区,5-10年,学历不限",[1人],面议
池州市拉钩供应链管理有限公司,快递员,"贵池区/城区,经验不限,学历不限",[若干人],3千-5千/月
池州市拉钩供应链管理有限公司,客服专员及储备干部,"贵池区/城区,经验不限,学历不限",[若干人],面议
池州十里岗驾驶培训学校有限公司,教练员,"贵池区,经验不限,学历不限",[5人],面议
池州十里岗驾驶培训学校有限公司,大厅办公人员,"贵池区,3-5年,大专",[1人],面议
新飞凡电脑,招聘移动代维技术员,"贵池区/城区,经验不限,学历不限",[若干人],面议
新飞凡电脑,网络技术员,"贵池区/乡镇,经验不限,学历不限",[若干人],面议
新飞凡电脑,网络技术员,"贵池区/乡镇,经验不限,学历不限",[若干人],2千6-3千/月
池州市秋浦通用工贸有限公司,文员/销售/导购/电话业务,"贵池区,经验不限,高中",[若干人],2千-4千/月
池州市秋浦通用工贸有限公司,送货司机（面包车和小厢货，C1照即可）,"贵池区,经验不限,初中",[若干人],2千5-5千/月
池州市秋浦通用工贸有限公司,饭店总经理、前台接待、服务员,"贵池区,经验不限,初中",[若干人],2千5-5千/月
贵池区杏花村小学,英语代课教师,"贵池区,经验不限,大专",[1人],1千5/月
贵池区杏花村小学,体育,"贵池区,经验不限,大专",[若干人],1千5/月
贵池区杏花村小学,小学语文、数学、英语,"贵池区,经验不限,本科",[若干人],1千5/月
安徽芯旭半导体有限公司,仓管员,"贵池区,经验不限,高中",[2人],面议
安徽芯旭半导体有限公司,工程技术员,"贵池区,经验不限,本科",[若干人],3千-6千/月
安徽芯旭半导体有限公司,普工,"贵池区,经验不限,初中",[若干人],3千-6千/月
安徽芯旭半导体有限公司,业务助理（内勤）,"贵池区,经验不限,大专",[1人],面议
安徽芯旭半导体有限公司,成本会计,"贵池区,经验不限,大专",[若干人],面议
安徽安芯电子科技股份有限公司,仓库管理员,"贵池区,经验不限,初中",[1人],面议
安徽安芯电子科技股份有限公司,设备维修,"贵池区,1-3年,高中",[2人],面议
安徽安芯电子科技股份有限公司,一线员工,"贵池区,经验不限,初中",[50人],3千-6千/月
安徽安芯电子科技股份有限公司,业务员,"贵池区,经验不限,大专",[1人],面议
安徽安芯电子科技股份有限公司,成本会计,"贵池区,5-10年,高中",[1人],面议
池州乐学教育咨询有限公司,广纳能人艺士,"贵池区/城区,经验不限,学历不限",[若干人],面议
池州乐学教育咨询有限公司,小学生全科辅导老师,"贵池区/城区,经验不限,学历不限",[若干人],面议
中科乐机器人教育中心,计算机教师,"贵池区/城区,经验不限,学历不限",[若干人],面议
安徽力成智能装备股份有限公司,财务经理,"贵池区,5-10年,大专",[1人],5千-1万/月
安徽力成智能装备股份有限公司,外贸主管,"贵池区,3-5年,大专",[1人],5千-8千/月
安徽力成智能装备股份有限公司,装配钳工,"贵池区,经验不限,高中",[若干人],4千-7千/月
安徽力成智能装备股份有限公司,平面设计,"贵池区,经验不限,学历不限",[若干人],3千-5千/月
安徽力成智能装备股份有限公司,加工中心，,"贵池区/城区,经验不限,学历不限",[若干人],2千5-3千/月
安徽力成智能装备股份有限公司,跟单员,"贵池区/城区,经验不限,学历不限",[若干人],2千5-3千/月
安徽力成智能装备股份有限公司,行政文员,"贵池区/城区,1年以下,中专",[若干人],2千5-3千/月
贵池区丽儿医美美容中心,美客学徒,"贵池区/城区,经验不限,学历不限",[若干人],1千-2千/月
贵池区丽儿医美美容中心,美容师,"贵池区/城区,经验不限,学历不限",[若干人],3千-6千/月
贵池区丽儿医美美容中心,店长,"贵池区/城区,经验不限,学历不限",[若干人],5千-1万/月
安徽云峰线缆工程有限公司,大客户宽带维护人员,"贵池区,1-3年,高中",[2人],3千-4千/月
安徽云峰线缆工程有限公司,宽带装维人员,"贵池区,经验不限,高中",[3人],3千-4千/月
安徽云峰线缆工程有限公司,中台调度人员,"贵池区,1-3年,高中",[1人],1千8-2千5/月
安徽云峰线缆工程有限公司,办公室调度,"贵池区/城区,1-3年,高中",[4人],2千/月
格林豪泰酒店（建设路店）,客房服务员,"贵池区/城区,经验不限,学历不限",[若干人],2千-3千/月
格林豪泰酒店（建设路店）,前台接待员,"贵池区/城区,经验不限,学历不限",[4人],面议
池州市百兴信息技术服务有限公司,通信设计,"贵池区/城区,经验不限,学历不限",[若干人],3千5-7千/月
安徽省池州市豪丰置业有限公司,文员,"贵池区,经验不限,中专",[若干人],面议
贵池区暖阳孕婴童用品店,店长,"贵池区/城区,经验不限,学历不限",[若干人],5千-1万/月
贵池区暖阳孕婴童用品店,销售导购,"贵池区/城区,经验不限,学历不限",[若干人],3千-6千/月
汇文教育,汇文教育诚聘初高中英语老师,"贵池区/城区,经验不限,学历不限",[若干人],3千-5千/月
汇文教育,汇文教育诚聘物理老师,"贵池区/城区,经验不限,学历不限",[若干人],面议
汇文教育,汇文教育诚聘数理化老师,"贵池区/城区,经验不限,学历不限",[若干人],3千-5千/月
汇文教育,晚作业理化老师,"贵池区/城区,经验不限,学历不限",[若干人],面议
汇文教育,汇文教育诚聘语文老师,"贵池区/城区,经验不限,学历不限",[若干人],3千-5千/月
池州世纪星网吧,收银员,"贵池区,经验不限,学历不限",[1人],面议
池州世纪星网吧,网咖保洁,"贵池区,经验不限,学历不限",[1人],面议
贵池区梦想房屋维修部,小工,"贵池区/城区,经验不限,学历不限",[若干人],面议
贵池区梦想房屋维修部,水电工,"贵池区/城区,经验不限,学历不限",[若干人],面议
池州市全发机械科技发展有限公司,炉前熔炼工、浇注工、造型工,"贵池区,经验不限,学历不限",[11人],面议
中国铁通池州分公司,文员，资料员,"贵池区,1-3年,大专",[3人],面议
中国铁通池州分公司,文员，资料员,"贵池区,1-3年,大专",[3人],2千5-3千/月
池州市秀山门博物馆,保洁员,"贵池区/城区,经验不限,学历不限",[若干人],面议
池州市秀山门博物馆,安保员,"贵池区/城区,经验不限,学历不限",[若干人],面议
美国怡口净水池州销售服务中心,小区业务员,"贵池区/城区,经验不限,学历不限",[若干人],3千-4千/月
美国怡口净水池州销售服务中心,市场经理（干股）,"贵池区/城区,经验不限,学历不限",[若干人],4千-7千/月
美国怡口净水池州销售服务中心,店长  1名（干股）,"贵池区/城区,1-3年,大专",[1人],4千-6千/月
美国怡口净水池州销售服务中心,大学生兼职,"贵池区/城区,经验不限,学历不限",[若干人],2千-3千9/月
合肥天石利,仓库文员,"贵池区/城区,经验不限,学历不限",[若干人],1千8-2千2/月
安徽互联广告传媒有限公司,销售代表,"贵池区/城区,经验不限,学历不限",[若干人],面议
中国银河证券股份有限公司池州石城大道证券营业部,客户经理岗,"贵池区,经验不限,大专",[5人],3千5-7千/月
中国银河证券股份有限公司池州石城大道证券营业部,理财经理岗,"贵池区,3-5年,本科",[1人],面议
平天湖风景区欧索莱生态家居经营部,室内装潢设计师,"贵池区,经验不限,学历不限",[1人],3千-4千/月
平天湖风景区欧索莱生态家居经营部,业务经理,"贵池区,3-5年,高中",[2人],2千-4千/月
欧尚装饰工程有限公司,家装项目经理,"贵池区,1-3年,学历不限",[2人],面议
欧尚装饰工程有限公司,室内装潢设计,"贵池区,经验不限,学历不限",[若干人],4千-8千/月
欧尚装饰工程有限公司,前台接待,"贵池区,经验不限,高中",[1人],2千5-5千/月
欧尚装饰工程有限公司,工程维修,"贵池区,1-3年,学历不限",[1人],面议
欧尚装饰工程有限公司,汉庭酒店保安,"贵池区/城区,经验不限,学历不限",[若干人],2千-2千2/月
欧尚装饰工程有限公司,酒店维修工,"贵池区,1-3年,学历不限",[若干人],2千5-4千/月
欧尚装饰工程有限公司,销售经理,"贵池区,1-3年,学历不限",[3人],2千-4千/月
欧尚装饰工程有限公司,电话销售,"贵池区,1-3年,学历不限",[3人],面议
池州振龙教育咨询有限公司,振龙聘初高中数理化英老师,"贵池区,经验不限,本科",[5人],4千-6千/月
池州振龙教育咨询有限公司,市场专员,"贵池区,经验不限,学历不限",[若干人],5千-1万/月
