address,company,jname,jtxt,mount,salary
,安徽成文财务管理咨询有限公司,外勤会计,大专 / 经验不限 / 性别不限 / 年龄不限,招聘10人,面议
(池州市贵池区殷汇大道与白浦路),安徽鸿叶集团有限公司,机修工,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘1人,薪资面议
(池州市站前区世纪广场10号楼116室),池州正建工程管理服务有限公司,总监,大专 / 经验2年以上 / 性别不限 / 30～55岁,招聘5人,薪资面议
(安徽省池州市百汇广场A楼111-113号门面),池州市林乐建材销售有限公司,渠道部经理,中专 / 经验不限 / 性别不限 / 20～45岁,招聘2人,薪资面议
,安徽省伟成润鑫投资咨询有限公司,信贷部长,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘3人,薪资面议
(池州市贵池区梅里工业园),池州市三友家具批发市场,家电、家具、商场导购员,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘4人,3K-4K
(池州市贵池区殷汇大道与白浦路),安徽鸿叶集团有限公司,文员,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘2人,2K-5K
(池州市贵池区长江南路688号（财富广场）六楼),学林教育,高中物理教师,大专 / 经验不限 / 性别不限 / 年龄不限,招聘3人,面议
,池州居安房地产经纪有限公司,店长,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘5人,薪资面议
,池州居安房地产经纪有限公司,房产经纪人,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘50人,薪资面议
(秋浦东路98号居安房产),池州居安房地产经纪有限公司,副总兼总管,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘1人,薪资面议
(梅里工业园（老厂）池州开发区（新厂）),池州德特机电设备有限公司,出纳,大专 / 经验3年以上 / 性别女 / 26～40岁,招聘2人,2K-3K
(翠微西路426号（西门转盘50米）),池州居安房地产经纪有限公司,装修设计师 预算师或合伙人,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘1人,薪资面议
(池州市贵池区白牙中路13号（地区医院对面）),泰康人寿池州分公司银保部,电话网络营销员,大专 / 经验不限 / 性别不限 / 25～45岁,招聘6人,面议
(池州市秋浦西路51号),池州华为授权体验店,销售精英,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘10人,3K-6K
(池州市贵池区长江南路688号（财富广场）六楼),学林教育,初中英语教师,大专 / 经验不限 / 性别不限 / 年龄不限,招聘1人,面议
(池州市秋浦西路51号),池州华为授权体验店,青阳县电信营业厅店长,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘2人,3K-8K
(池州市秋浦西路51号),池州华为授权体验店,青阳县电信营业厅手机销售经理,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘10人,3K-5K
(安徽省池州市百汇广场A楼111-113号门面),池州市林乐建材销售有限公司,装潢设计师5K-10K,大专 / 经验不限 / 性别不限 / 20～45岁,招聘4人,薪资面议
(安徽省池州市百汇广场A楼111-113号门面),池州市林乐建材销售有限公司,储备店长,高中 / 经验2年以上 / 性别不限 / 20～45岁,招聘4人,薪资面议
(安徽省池州市清溪大道198号),安徽精实电子科技有限公司,生产文员,中专 / 经验3年以上 / 性别不限 / 25～45岁,招聘2人,3K-4K
(米兰阳光大厦1401),领创网络,销售代表,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘12人,5K-8K
(池州市贵池区白牙中路13号（地区医院对面）),泰康人寿池州分公司银保部,讲师,大专 / 经验不限 / 性别不限 / 25～45岁,招聘5人,面议
(池州市贵池区工业园玉镜路),安徽艾可蓝节能环保科技有限公司,行政专员,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘1人,薪资面议
