池州市贵池区,环球车享池州汽车租赁有限公司,运营专员,中专 / 经验1年以上 / 性别不限 / 20～45岁,招聘3人,2K-3K
池州市贵池区,池州伟星管材销售有限公司,店面导购,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘2人,薪资面议
池州市贵池区,池州伟星管材销售有限公司,驾驶员兼送货员,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘3人,薪资面议
池州市,池州市我爱我家房产经纪有限公司,置业顾问,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘20人,面议
池州市,池州巨成电子科技有限公司,品管员,中专 / 经验1年以上 / 性别不限 / 18～30岁,招聘3人,薪资面议
池州市,池州巨成电子科技有限公司,操作工,学历不限 / 经验不限 / 性别不限 / 18～30岁,招聘若干人,4K-5K
池州市贵池区,池州妍宝电子商务有限公司,销售代表,学历不限 / 经验不限 / 性别不限 / 18～24岁,招聘50人,2K-60K
池州市,池州市我爱我家房产经纪有限公司,门店经理,中专 / 经验2年以上 / 性别不限 / 年龄不限,招聘10人,面议
池州市贵池区,池州市银龙矿业有限公司,A2驾驶员,学历不限 / 经验5年以上 / 性别不限 / 20～50岁,招聘若干人,10K-15K
池州市贵池区,池州妍宝电子商务有限公司,高薪招销售精英,大专 / 经验2年以上 / 性别不限 / 18～25岁,招聘20人,3K-60K
池州市贵池区,池州宏腾汽车销售有限公司,销售代表,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘2人,薪资面议
池州市贵池区,池州宏腾汽车销售有限公司,文员,中专 / 经验应届毕业生 / 性别女 / 年龄不限,招聘2人,2K-3K
池州市贵池区,池州伟星管材销售有限公司,业务员,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘5人,薪资面议
池州市,池州巨成电子科技有限公司,技术员,中专 / 经验1年以上 / 性别不限 / 25～35岁,招聘2人,薪资面议
池州市贵池区,池州妍宝电子商务有限公司,人事专员,大专 / 经验1年以上 / 性别女 / 18～22岁,招聘2人,2K-6K
池州市,池州巨成电子科技有限公司,工程文员,大专 / 经验1年以上 / 性别女 / 18～30岁,招聘1人,薪资面议
池州市贵池区,安徽川上中央厨房设备有限公司,电气工程师,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘1人,薪资面议
池州市贵池区,池州妍宝电子商务有限公司,高薪网络销售代表,学历不限 / 经验不限 / 性别不限 / 18～24岁,招聘20人,2K-60K
池州市,安徽友进冠华新材科技股份有限公司,维修钳工,学历不限 / 经验3年以上 / 性别不限 / 35～50岁,招聘4人,面议
池州市贵池区,安徽上恒电气成套设备有限公司,高薪招聘电焊工,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘2人,薪资面议
池州市,安徽友进冠华新材科技股份有限公司,维修电工,学历不限 / 经验3年以上 / 性别不限 / 28～45岁,招聘4人,5K-7K
池州市,大金中央空调池州专业店,业务员,初中 / 经验不限 / 性别不限 / 22～40岁,招聘10人,面议
